log_nc10_nro400_str5_lr0.0001_rho0.5_dsetMNIST_10c_iid0_ed0_seed4.txt
INFO flwr 2024-03-12 14:16:45,604 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=400, round_timeout=None)
INFO flwr 2024-03-12 14:16:45,652 | app.py:176 | Flower ECE: gRPC server running (400 rounds), SSL is disabled
INFO flwr 2024-03-12 14:16:45,652 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-12 14:16:45,653 | server.py:276 | Requesting initial parameters from one random client
server booted up. starting clients...
INFO flwr 2024-03-12 14:17:07,882 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
INFO flwr 2024-03-12 14:17:07,897 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-12 14:17:07,910 | server.py:91 | Evaluating initial parameters
DEBUG flwr 2024-03-12 14:17:07,885 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:07,885 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:07,888 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:07,905 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:07,907 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:07,908 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:07,911 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:07,940 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:07,943 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:07,943 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:07,946 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:08,105 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:08,107 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:08,107 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:08,110 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:08,365 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
INFO flwr 2024-03-12 14:17:08,368 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:08,369 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:08,369 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:08,371 | connection.py:42 | ChannelConnectivity.READY
DEBUG flwr 2024-03-12 14:17:08,371 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:08,372 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:08,376 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:08,392 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:08,397 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:08,397 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:08,403 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:08,407 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:08,409 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:08,409 | connection.py:42 | ChannelConnectivity.CONNECTING
INFO flwr 2024-03-12 14:17:08,410 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:08,413 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:08,414 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:08,415 | connection.py:42 | ChannelConnectivity.READY
DEBUG flwr 2024-03-12 14:17:08,420 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:08,430 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:08,433 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:08,433 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:08,439 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:11,820 | server.py:94 | initial parameters (loss, other metrics): 2.301457575544807, {'accuracy': 0.1394}
INFO flwr 2024-03-12 14:17:11,820 | server.py:104 | FL starting
DEBUG flwr 2024-03-12 14:17:11,821 | server.py:222 | fit_round 1: strategy sampled 10 clients (out of 10)
DEBUG flwr 2024-03-12 14:17:57,539 | server.py:236 | fit_round 1 received 10 results and 0 failures
INFO flwr 2024-03-12 14:18:01,397 | server.py:125 | fit progress: (1, 2.2836237599180715, {'accuracy': 0.1447}, 49.57672879192978)
INFO flwr 2024-03-12 14:18:01,398 | server.py:171 | evaluate_round 1: no clients selected, cancel
DEBUG flwr 2024-03-12 14:18:01,399 | server.py:222 | fit_round 2: strategy sampled 10 clients (out of 10)
DEBUG flwr 2024-03-12 14:18:45,200 | server.py:236 | fit_round 2 received 10 results and 0 failures
INFO flwr 2024-03-12 14:18:49,362 | server.py:125 | fit progress: (2, 2.250233900215485, {'accuracy': 0.1954}, 97.54128184448928)
INFO flwr 2024-03-12 14:18:49,362 | server.py:171 | evaluate_round 2: no clients selected, cancel
DEBUG flwr 2024-03-12 14:18:49,362 | server.py:222 | fit_round 3: strategy sampled 10 clients (out of 10)
DEBUG flwr 2024-03-12 14:19:33,383 | server.py:236 | fit_round 3 received 10 results and 0 failures
INFO flwr 2024-03-12 14:19:37,536 | server.py:125 | fit progress: (3, 2.205588711475682, {'accuracy': 0.2802}, 145.71589247509837)
INFO flwr 2024-03-12 14:19:37,537 | server.py:171 | evaluate_round 3: no clients selected, cancel
DEBUG flwr 2024-03-12 14:19:37,537 | server.py:222 | fit_round 4: strategy sampled 10 clients (out of 10)
DEBUG flwr 2024-03-12 14:20:21,616 | server.py:236 | fit_round 4 received 10 results and 0 failures
INFO flwr 2024-03-12 14:20:25,660 | server.py:125 | fit progress: (4, 2.1512416333976465, {'accuracy': 0.3369}, 193.83955208025873)
INFO flwr 2024-03-12 14:20:25,660 | server.py:171 | evaluate_round 4: no clients selected, cancel
DEBUG flwr 2024-03-12 14:20:25,660 | server.py:222 | fit_round 5: strategy sampled 10 clients (out of 10)
DEBUG flwr 2024-03-12 14:21:10,737 | server.py:236 | fit_round 5 received 10 results and 0 failures
INFO flwr 2024-03-12 14:21:14,795 | server.py:125 | fit progress: (5, 2.0892566783243613, {'accuracy': 0.4509}, 242.97419147845358)
INFO flwr 2024-03-12 14:21:14,795 | server.py:171 | evaluate_round 5: no clients selected, cancel
DEBUG flwr 2024-03-12 14:21:14,796 | server.py:222 | fit_round 6: strategy sampled 10 clients (out of 10)
DEBUG flwr 2024-03-12 14:22:00,946 | server.py:236 | fit_round 6 received 10 results and 0 failures
INFO flwr 2024-03-12 14:22:05,013 | server.py:125 | fit progress: (6, 2.0223243843930434, {'accuracy': 0.5752}, 293.19280396029353)
INFO flwr 2024-03-12 14:22:05,014 | server.py:171 | evaluate_round 6: no clients selected, cancel
DEBUG flwr 2024-03-12 14:22:05,014 | server.py:222 | fit_round 7: strategy sampled 10 clients (out of 10)
DEBUG flwr 2024-03-12 14:22:51,891 | server.py:236 | fit_round 7 received 10 results and 0 failures
INFO flwr 2024-03-12 14:22:55,938 | server.py:125 | fit progress: (7, 1.9522250376189578, {'accuracy': 0.6378}, 344.11744009517133)
INFO flwr 2024-03-12 14:22:55,938 | server.py:171 | evaluate_round 7: no clients selected, cancel
DEBUG flwr 2024-03-12 14:22:55,938 | server.py:222 | fit_round 8: strategy sampled 10 clients (out of 10)
DEBUG flwr 2024-03-12 14:23:40,627 | server.py:236 | fit_round 8 received 10 results and 0 failures
INFO flwr 2024-03-12 14:23:44,691 | server.py:125 | fit progress: (8, 1.8801341068547697, {'accuracy': 0.6552}, 392.8708458468318)
INFO flwr 2024-03-12 14:23:44,692 | server.py:171 | evaluate_round 8: no clients selected, cancel
DEBUG flwr 2024-03-12 14:23:44,692 | server.py:222 | fit_round 9: strategy sampled 10 clients (out of 10)
DEBUG flwr 2024-03-12 14:24:28,679 | server.py:236 | fit_round 9 received 10 results and 0 failures
INFO flwr 2024-03-12 14:24:32,739 | server.py:125 | fit progress: (9, 1.8077666911642172, {'accuracy': 0.6625}, 440.918682590127)
INFO flwr 2024-03-12 14:24:32,740 | server.py:171 | evaluate_round 9: no clients selected, cancel
DEBUG flwr 2024-03-12 14:24:32,740 | server.py:222 | fit_round 10: strategy sampled 10 clients (out of 10)
DEBUG flwr 2024-03-12 14:25:16,792 | server.py:236 | fit_round 10 received 10 results and 0 failures
INFO flwr 2024-03-12 14:25:20,845 | server.py:125 | fit progress: (10, 1.7370632054415347, {'accuracy': 0.6636}, 489.0240781214088)
INFO flwr 2024-03-12 14:25:20,845 | server.py:171 | evaluate_round 10: no clients selected, cancel
DEBUG flwr 2024-03-12 14:25:20,845 | server.py:222 | fit_round 11: strategy sampled 10 clients (out of 10)
DEBUG flwr 2024-03-12 14:26:04,841 | server.py:236 | fit_round 11 received 10 results and 0 failures
