log_nc10_nro400_str5_lr0.0001_rho0.5_dsetMNIST_10c_iid0_ed0_seed3.txt
INFO flwr 2024-03-12 14:16:46,195 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=400, round_timeout=None)
INFO flwr 2024-03-12 14:16:46,235 | app.py:176 | Flower ECE: gRPC server running (400 rounds), SSL is disabled
INFO flwr 2024-03-12 14:16:46,235 | server.py:89 | Initializing global parameters
INFO flwr 2024-03-12 14:16:46,235 | server.py:276 | Requesting initial parameters from one random client
server booted up. starting clients...
INFO flwr 2024-03-12 14:17:04,193 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
INFO flwr 2024-03-12 14:17:04,209 | server.py:280 | Received initial parameters from one random client
INFO flwr 2024-03-12 14:17:04,210 | server.py:91 | Evaluating initial parameters
DEBUG flwr 2024-03-12 14:17:04,196 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:04,196 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:04,199 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:04,561 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:04,563 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:04,564 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:04,567 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:04,840 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:04,843 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:04,843 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:04,847 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:05,441 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
INFO flwr 2024-03-12 14:17:05,441 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
INFO flwr 2024-03-12 14:17:05,441 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:05,444 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:05,444 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:05,444 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:05,444 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:05,445 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:05,446 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:05,448 | connection.py:42 | ChannelConnectivity.READY
DEBUG flwr 2024-03-12 14:17:05,448 | connection.py:42 | ChannelConnectivity.READY
DEBUG flwr 2024-03-12 14:17:05,455 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:05,465 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:05,468 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:05,468 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:05,473 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:05,484 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:05,486 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:05,487 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:05,493 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:05,497 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:05,499 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:05,499 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:05,503 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:05,504 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2024-03-12 14:17:05,506 | connection.py:42 | ChannelConnectivity.IDLE
DEBUG flwr 2024-03-12 14:17:05,506 | connection.py:42 | ChannelConnectivity.CONNECTING
DEBUG flwr 2024-03-12 14:17:05,511 | connection.py:42 | ChannelConnectivity.READY
INFO flwr 2024-03-12 14:17:07,231 | server.py:94 | initial parameters (loss, other metrics): 2.3093418169474638, {'accuracy': 0.0998}
